taxa	stitle	assembly_accession	domain	phylum	class	order	family	genus	species
CACYHP010000001.1_899	CACYHP010000001.1_899 # 1055924 # 1057168 # -1 # ID=1_899;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=9bp;gc_cont=0.462	GCA_902774295.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	Limimorpha	Limimorpha sp902774295
QJZS01000151.1_1	QJZS01000151.1_1 # 59 # 1165 # 1 # ID=175_1;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.444	GCA_003247345.1	Bacteria	Spirochaetota	Spirochaetia	Sphaerochaetales	Sphaerochaetaceae	Sphaerochaeta	Sphaerochaeta sp003247345
DBRG01000003.1_87	DBRG01000003.1_87 # 105218 # 106465 # -1 # ID=12_87;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=8bp;gc_cont=0.502	GCA_002305545.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	DMER64	DMER64 sp002305545
CACYIK010000002.1_7	CACYIK010000002.1_7 # 4790 # 6094 # 1 # ID=2_7;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=8bp;gc_cont=0.616	GCA_902774395.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA1711	UBA1711 sp902774395
CACYKY010000002.1_125	CACYKY010000002.1_125 # 141397 # 142701 # -1 # ID=2_125;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.618	GCA_902775135.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA1711	UBA1711 sp902775135
CAAFUQ010000029.1_10	CAAFUQ010000029.1_10 # 9785 # 10900 # 1 # ID=29_10;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.332	GCA_900766215.1	Bacteria	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia sp900766215
WP_094383787.1	WP_094383787.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Prevotella sp. P2-180]	GCF_002251435.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002251435
MBN1988673.1	MBN1988673.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidales bacterium]	GCA_016931855.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tenuifilaceae	UBA5206	UBA5206 sp016931855
PIE63020.1	PIE63020.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Desulfobacter postgatei]	GCA_002747145.1	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter	Desulfobacter postgatei_A
CADAVB010000024.1_19	CADAVB010000024.1_19 # 23934 # 25244 # -1 # ID=24_19;partial=00;start_type=ATG;rbs_motif=AAAT;rbs_spacer=5bp;gc_cont=0.514	GCA_902791165.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	Limimorpha	Limimorpha sp902791165
CADAVB010000001.1_22	CADAVB010000001.1_22 # 19150 # 20502 # 1 # ID=1_22;partial=00;start_type=ATG;rbs_motif=AAAAT;rbs_spacer=8bp;gc_cont=0.520	GCA_902791165.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	Limimorpha	Limimorpha sp902791165
MBR4266086.1	MBR4266086.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidales bacterium]	GCA_017541145.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA3824	UBA3824	UBA3824 sp017541145
JAHDSP010000140.1_4	JAHDSP010000140.1_4 # 2025 # 3287 # 1 # ID=293_4;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=10bp;gc_cont=0.317	GCA_018432645.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	DTU049	DTU049	DTU049 sp018432645
WP_041583875.1	WP_041583875.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Phocaeicola salanitronis]	GCF_000190575.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola salanitronis
WP_025002936.1	WP_025002936.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Prevotella dentasini]	GCF_000614065.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella dentasini
WP_072530688.1	WP_072530688.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroides ilei]	GCF_900128495.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola ilei
WP_077196441.1	WP_077196441.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Prevotella ihumii]	GCF_900155655.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella ihumii
MBE6261540.1	MBE6261540.1 MAG: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Prevotella sp.]	GCA_015060485.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp015060485
MBR5749498.1	MBR5749498.1 MAG: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Prevotella sp.]	GCA_017556145.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp017556145
MBO6017932.1	MBO6017932.1 MAG: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Prevotella sp.]	GCA_017632825.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp017632825
MBO7427462.1	MBO7427462.1 MAG: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Paludibacteraceae bacterium]	GCA_017649635.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	UBA1181	UBA1181 sp017649635
CAAGML010000057.1_10	CAAGML010000057.1_10 # 10066 # 11331 # 1 # ID=57_10;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=14bp;gc_cont=0.502	GCA_900771035.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	Aphodosoma	Aphodosoma sp900771035
WP_146590518.1	WP_146590518.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Posidoniimonas polymericola]	GCF_007859935.1	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Lacipirellulaceae	Posidoniimonas	Posidoniimonas polymericola
WP_013627896.1	WP_013627896.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Rubinisphaera brasiliensis]	GCF_000165715.2	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Rubinisphaera	Rubinisphaera brasiliensis
NBC48568.1	NBC48568.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Gammaproteobacteria bacterium]	GCA_009908845.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Halochromatium	Halochromatium sp009908845
WP_028896398.1	WP_028896398.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Prevotella sp. HUN102]	GCF_000688375.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000688375
MBN1919254.1	MBN1919254.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Verrucomicrobia bacterium]	GCA_016931415.1	Bacteria	JABMQX01	JABMQX01	JABMQX01	JAFGEW01	JAFGEW01	JAFGEW01 sp016931415
HAE06855.1	HAE06855.1 MAG TPA: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Prevotella sp.]	GCA_003447235.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp003447235
CCY03281.1	CCY03281.1 na(+)-translocating NADH-quinone reductase subunit F [Prevotella sp. CAG:924]	GCA_000431975.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp000431975
MBO7467765.1	MBO7467765.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidaceae bacterium]	GCA_017650105.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA1189	UBA1189 sp017650105
CACYQZ010000001.1_3	CACYQZ010000001.1_3 # 2721 # 3989 # -1 # ID=1_3;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=5bp;gc_cont=0.540	GCA_902776665.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp902776665
URWP01000121.1_2	URWP01000121.1_2 # 753 # 2021 # -1 # ID=121_2;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=14bp;gc_cont=0.462	GCA_900551645.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola sp900551645
JAEEQH010000013.1_23	JAEEQH010000013.1_23 # 30059 # 31327 # 1 # ID=56_23;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=15bp;gc_cont=0.556	GCA_016285245.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp016285245
WFZU01000002.1_2	WFZU01000002.1_2 # 680 # 1948 # -1 # ID=2_2;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=9bp;gc_cont=0.441	GCA_015489405.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	S143-32	S143-32	S143-32 sp015489405
CACZPU010000134.1_2	CACZPU010000134.1_2 # 958 # 2226 # -1 # ID=134_2;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=15bp;gc_cont=0.493	GCA_902783165.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp902783165
WP_097114021.1	WP_097114021.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Alysiella filiformis]	GCF_014054525.1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Alysiella	Alysiella filiformis
WP_064516488.1	WP_064516488.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Buttiauxella gaviniae]	GCF_001654835.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Buttiauxella	Buttiauxella gaviniae
WP_061708112.1	WP_061708112.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Enterobacter timonensis]	GCF_900021175.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Enterobacter_A	Enterobacter_A timonensis
WP_113862607.1	WP_113862607.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Marinobacter pelagius]	GCF_003315345.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Marinobacter	Marinobacter pelagius_A
WP_146594369.1	WP_146594369.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Novipirellula galeiformis]	GCF_007860095.1	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Novipirellula	Novipirellula galeiformis
VEG72209.1	VEG72209.1 Na(+)-translocating NADH-quinone reductase subunit F [[Pasteurella] aerogenes]	GCA_900637275.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Actinobacillus_B	Actinobacillus_B aerogenes
MBL8896072.1	MBL8896072.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Planctomycetes bacterium]	GCA_016793245.1	Bacteria	Planctomycetota	UBA1135	UBA1135	JADKAF01	JADKAF01	JADKAF01 sp016793245
MBP3195263.1	MBP3195263.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Cardiobacteriaceae bacterium]	GCA_017934275.1	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	RGIG9182	RGIG9182 sp017934275
PKCP01000036.1_11	PKCP01000036.1_11 # 12657 # 13877 # 1 # ID=19_11;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.517	GCA_002862225.1	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	GCA-2862225	GCA-2862225 sp002862225
WP_025835529.1	WP_025835529.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroides rodentium]	GCF_000614125.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides rodentium
WP_215984762.1	WP_215984762.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Marinobacter sp. F3R08]	GCF_018860425.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Marinobacter	Marinobacter sp018860425
VDZ71955.1	VDZ71955.1 Na(+)-translocating NADH-quinone reductase subunit F [Atlantibacter hermannii]	GCA_900635495.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Atlantibacter	Atlantibacter hermannii
WP_013277360.1	WP_013277360.1 2Fe-2S iron-sulfur cluster-binding protein [Acetohalobium arabaticum]	GCF_000144695.1	Bacteria	Firmicutes_F	Halanaerobiia	Halobacteroidales	Acetohalobiaceae	Acetohalobium	Acetohalobium arabaticum
WP_021111073.1	WP_021111073.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Glaesserella parasuis]	GCF_002015085.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Glaesserella	Glaesserella parasuis
WP_162857013.1	WP_162857013.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Actinobacillus indolicus]	GCF_004519515.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Glaesserella	Glaesserella indolica_A
PKCQ01000540.1_6	PKCQ01000540.1_6 # 3754 # 4983 # 1 # ID=247_6;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.512	GCA_002862265.1	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Aureliella	Aureliella sp002862265
MBR1928955.1	MBR1928955.1 MAG: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Paludibacteraceae bacterium]	GCA_017478225.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	RF16	RF16 sp017478225
MBQ0060707.1	MBQ0060707.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidales bacterium]	GCA_018065125.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA4293	UBA4293 sp018065125
DCID01000036.1_10	DCID01000036.1_10 # 17077 # 18357 # -1 # ID=31_10;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=12bp;gc_cont=0.492	GCA_002315745.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	RF16	RF16 sp002315745
WP_014064156.1	WP_014064156.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Haemophilus parainfluenzae]	GCF_000210895.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus_D	Haemophilus_D parainfluenzae_A
WP_005695378.1	WP_005695378.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Haemophilus]	GCF_000191405.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pasteurellaceae	Haemophilus_D	Haemophilus_D parainfluenzae
WP_190615882.1	WP_190615882.1 FAD-binding oxidoreductase [Tepiditoga spiralis]	GCF_014701195.1	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Tepiditoga	Tepiditoga spiralis
MCL2040657.1	MCL2040657.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidales bacterium]	GCA_009777825.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	WRLA01	WRLA01	WRLA01 sp009777825
JAEFAE010000005.1_54	JAEFAE010000005.1_54 # 57798 # 59135 # 1 # ID=22_54;partial=00;start_type=ATG;rbs_motif=AAAA;rbs_spacer=10bp;gc_cont=0.567	GCA_016291135.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	Limimorpha	Limimorpha sp016291135
MBN2552783.1	MBN2552783.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Spirochaetales bacterium]	GCA_016935715.1	Bacteria	Spirochaetota	Spirochaetia	SZUA-6	DRHE01	JAFGQJ01	JAFGQJ01 sp016935715
MBN2552471.1	MBN2552471.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Spirochaetales bacterium]	GCA_016935715.1	Bacteria	Spirochaetota	Spirochaetia	SZUA-6	DRHE01	JAFGQJ01	JAFGQJ01 sp016935715
MBD5329251.1	MBD5329251.1 MAG: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroides sp.]	GCA_014801985.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp014801985
MBD5216971.1	MBD5216971.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidales bacterium]	GCA_014800685.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp014800685
JAEESE010000012.1_49	JAEESE010000012.1_49 # 68717 # 70006 # 1 # ID=21_49;partial=00;start_type=ATG;rbs_motif=AACAA;rbs_spacer=14bp;gc_cont=0.559	GCA_016286165.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA4372	UBA4372 sp016286165
MPMQ01000037.1_27	MPMQ01000037.1_27 # 30752 # 31993 # -1 # ID=71_27;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.562	GCA_002238585.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Endozoicomonadaceae	Parendozoicomonas	Parendozoicomonas sp002238585
WP_031504770.1	WP_031504770.1 FAD-binding oxidoreductase [Pseudothermotoga hypogea]	GCF_000816145.1	Bacteria	Thermotogota	Thermotogae	Thermotogales	DSM-5069	Pseudothermotoga_A	Pseudothermotoga_A hypogea
TDT72009.1	TDT72009.1 Na+-transporting NADH:ubiquinone oxidoreductase subunit F [Hypnocyclicus thermotrophus]	GCF_004365575.1	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Hypnocyclicus	Hypnocyclicus thermotrophus
PXDI01000381.1_11	PXDI01000381.1_11 # 11397 # 12500 # -1 # ID=363_11;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.523	GCA_003565095.1	Bacteria	Verrucomicrobiota	Kiritimatiellae	UBA8416	PXDI01	PXDI01	PXDI01 sp003565095
MBD5198730.1	MBD5198730.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidales bacterium]	GCA_014800445.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp014800445
WP_204401541.1	WP_204401541.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Alkaliphilus hydrothermalis]	GCF_016908555.1	Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Natronincolaceae	Alkaliphilus	Alkaliphilus hydrothermalis
PWXG01000040.1_17	PWXG01000040.1_17 # 11196 # 12302 # 1 # ID=182_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.469	GCA_003561215.1	Bacteria	Thermotogota	Thermotogae	Petrotogales	Kosmotogaceae	UBA9910	UBA9910 sp003561215
WP_006744487.1	WP_006744487.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroides coprosuis]	GCF_000212915.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides_E	Bacteroides_E coprosuis
CAJTTG010000003.1_234	CAJTTG010000003.1_234 # 263860 # 265161 # -1 # ID=3_234;partial=00;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=12bp;gc_cont=0.522	GCA_910579185.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum sp910579185
MBQ9312960.1	MBQ9312960.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidales bacterium]	GCA_017469625.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P3	Phil12	Phil12 sp017469625
CACYPU010000001.1_162	CACYPU010000001.1_162 # 189467 # 190771 # -1 # ID=1_162;partial=00;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.611	GCA_902776365.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA1711	UBA1711 sp902776365
ONCC01000005.1_61	ONCC01000005.1_61 # 70389 # 71693 # -1 # ID=25_61;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=4bp;gc_cont=0.623	GCA_900316235.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA1711	UBA1711 sp900316235
CADCEC010000004.1_15	CADCEC010000004.1_15 # 17308 # 18612 # -1 # ID=4_15;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=12bp;gc_cont=0.625	GCA_902800395.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	P3	UBA1711	UBA1711 sp902800395
PWJ96565.1	PWJ96565.1 Na+-transporting NADH:ubiquinone oxidoreductase subunit F [Oceanotoga teriensis]	GCF_003148465.1	Bacteria	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Oceanotoga	Oceanotoga teriensis
MAY82901.1	MAY82901.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Flavobacteriales bacterium]	GCA_002706365.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Vicingaceae	UBA1494	UBA1494 sp002706365
PWGY01000175.1_6	PWGY01000175.1_6 # 4177 # 5436 # 1 # ID=76_6;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=9bp;gc_cont=0.477	GCA_003554665.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA7960	PYGY01	PYGY01 sp003554665
DETM01000046.1_21	DETM01000046.1_21 # 21951 # 23210 # 1 # ID=9_21;partial=00;start_type=ATG;rbs_motif=AAA;rbs_spacer=13bp;gc_cont=0.574	GCA_002361655.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002361655
WGCY01000030.1_47	WGCY01000030.1_47 # 54630 # 55889 # -1 # ID=30_47;partial=00;start_type=ATG;rbs_motif=TAAAAA;rbs_spacer=11bp;gc_cont=0.464	GCA_015493525.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	SZUA-53	SZUA-53 sp015493525
HIA35421.1	HIA35421.1 TPA: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Flavobacteriales bacterium]	GCA_012965625.1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NORP154	UWMA-0041	UWMA-0041 sp012965625
MBS3736855.1	MBS3736855.1 2Fe-2S iron-sulfur cluster binding domain-containing protein [Candidatus Bipolaricaulota bacterium]	GCA_018335015.1	Bacteria	Bipolaricaulota	Bipolaricaulia	M55B111	M55B111	JAGXLP01	JAGXLP01 sp018335015
WP_006045884.1	WP_006045884.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Prevotella pallens]	GCF_000220255.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella pallens
MBQ3709826.1	MBQ3709826.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidales bacterium]	GCA_017394865.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	Limimorpha	Limimorpha sp017394865
MBR5061612.1	MBR5061612.1 MAG: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Prevotella sp.]	GCA_017548525.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp017548525
MBR4367093.1	MBR4367093.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidaceae bacterium]	GCA_017534705.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	RUG11857	RUG11857 sp017534705
MBP5482422.1	MBP5482422.1 MAG: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Paludibacteraceae bacterium]	GCA_017962085.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	UBA1181	UBA1181 sp017962085
CAJTMJ010000045.1_22	CAJTMJ010000045.1_22 # 24026 # 25291 # 1 # ID=45_22;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=15bp;gc_cont=0.494	GCA_910577335.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Duncaniella	Duncaniella sp910577335
CAJOHJ010000013.1_43	CAJOHJ010000013.1_43 # 47268 # 48533 # 1 # ID=13_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.543	GCA_905234265.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp905234265
DBOS01000088.1_4	DBOS01000088.1_4 # 2198 # 3463 # 1 # ID=60_4;partial=00;start_type=ATG;rbs_motif=TAAA;rbs_spacer=9bp;gc_cont=0.498	GCA_002299275.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002299275
WP_200346503.1	WP_200346503.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Halochromatium glycolicum]	GCF_016584085.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Halochromatium	Halochromatium glycolicum
WP_005843795.1	WP_005843795.1 MULTISPECIES: NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Prevotellaceae]	GCF_000518545.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella seregens
MBP3725812.1	MBP3725812.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidaceae bacterium]	GCA_017940185.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp017940185
MBR1465768.1	MBR1465768.1 NADH:ubiquinone reductase (Na(+)-transporting) subunit F [Bacteroidaceae bacterium]	GCA_017483765.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA3839	UBA3839 sp017483765
OMXL01000038.1_5	OMXL01000038.1_5 # 2919 # 4187 # -1 # ID=33_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.539	GCA_900314985.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp900314985
DGTS01000001.1_41	DGTS01000001.1_41 # 42800 # 44068 # -1 # ID=41_41;partial=00;start_type=ATG;rbs_motif=AATAA;rbs_spacer=12bp;gc_cont=0.533	GCA_002394385.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002394385
CADCAG010000027.1_34	CADCAG010000027.1_34 # 36944 # 38212 # -1 # ID=27_34;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.540	GCA_902799355.1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp902799355
